node,lv1_relation_text
Banker's Algorithm,"[""Banker's Algorithm is subclass of Deadlock Avoidance"", ""Banker's Algorithm use knowledge of Resource-Request Algorithm"", ""Banker's Algorithm use knowledge of Safety Algorithm"", ""Banker's Algorithm use knowledge of Need"", ""Banker's Algorithm use knowledge of Allocation"", ""Banker's Algorithm use knowledge of Available"", ""Banker's Algorithm use knowledge of Number of Resource Types"", ""Banker's Algorithm use knowledge of Number of Processes"", ""Banker's Algorithm use knowledge of Data Structures"", ""Banker's Algorithm use knowledge of Multiple Instances""]"
Banking,['Banking is subclass of Financial Services']
Banking System Enhancement,"['Banking System Enhancement is subclass of Financial Services Application Development', 'Banking System Enhancement use knowledge of Financial Services', 'Banking System Enhancement use knowledge of Banking', 'Banking System Enhancement use knowledge of SQL', 'Banking System Enhancement use knowledge of Java']"
Bare Metal Provisioning,"['Bare Metal Provisioning use knowledge of DRAC', 'Bare Metal Provisioning use knowledge of ILO', 'Bare Metal Provisioning use knowledge of Redfish', 'Bare Metal Provisioning use knowledge of Hardware management APIs']"
Basal Metabolic Rate Formula,['Basal Metabolic Rate Formula use knowledge of Conditional Execution']
Base Case,"['Base Case is subclass of Condition', 'Base Case use knowledge of Recursive Algorithm', 'Base Case use knowledge of Recursion']"
Base Register,['Base Register is subclass of Registers']
Bash,"['Bash is subclass of Programming', 'Bash use knowledge of Linux Command Line']"
Bash Scripting,['Bash Scripting use knowledge of Bash']
Basic Array Operations,"['Basic Array Operations is subclass of Array Operations', 'Basic Array Operations use knowledge of SummingArrayElements', 'Basic Array Operations use knowledge of ReadingDataIntoAnArray', 'Basic Array Operations use knowledge of PrintingArrayElements']"
Basic File System,['Basic File System is subclass of File System Layers']
Basic Network commands,"['Basic Network commands is subclass of Networking', 'Basic Network commands is subclass of Command-line tools']"
Behavior,"['Behavior is subclass of Software Modeling', 'Behavior is subclass of UML', 'Behavior use knowledge of Use Case Diagram', 'Behavior use knowledge of Sequence Diagram', 'Behavior use knowledge of Activity Diagram']"
Behavior Diagrams,"['Behavior Diagrams is subclass of Unified Modeling Language (UML)', 'Behavior Diagrams use knowledge of Interaction Diagram', 'Behavior Diagrams use knowledge of State Machine Diagram', 'Behavior Diagrams use knowledge of Use Case Diagram', 'Behavior Diagrams use knowledge of Activity Diagram']"
Belady's Anomaly,"[""Belady's Anomaly is subclass of FIFO Algorithm""]"
BigDecimal Class,"['BigDecimal Class use knowledge of BigDecimal Mathematical Methods', 'BigDecimal Class use knowledge of BigDecimal Constructor']"
BigDecimal Constructor,['BigDecimal Constructor is subclass of BigDecimal Class']
BigDecimal Mathematical Methods,['BigDecimal Mathematical Methods is subclass of BigDecimal Class']
Binaries,['Binaries is subclass of Linux Directory Structure']
Bit Map,['Bit Map is synonym of Bit Vector']
Bit Vector,['Bit Vector is subclass of Free-Space List']
Bitbucket,['Bitbucket is synonym of Git']
Black box,['Black box is subclass of Security Testing']
Bletchley Park Bombe,"['Bletchley Park Bombe is synonym of Automated Enigma Code Cracking, Circa 1940']"
Block Allocation,['Block Allocation is subclass of File System Implementation']
Block Devices,"['Block Devices is subclass of Hardware Devices', 'Block Devices use knowledge of hd', 'Block Devices use knowledge of sd', 'Block Devices use knowledge of cdrom']"
Block Scope,"['Block Scope use knowledge of switch Statement', 'Block Scope use knowledge of Looping', 'Block Scope use knowledge of if/else if Statement', 'Block Scope use knowledge of if/else Statement', 'Block Scope use knowledge of Simple if Statement']"
Block diagrams,['Block diagrams is subclass of Architectural Views']
Blocks,['Blocks is subclass of Logical Storage Unit']
Booking Systems,"['Booking Systems is subclass of Software Development', 'Booking Systems is subclass of Software Solutions', 'Booking Systems use knowledge of Databases', 'Booking Systems use knowledge of Back End Engineering', 'Booking Systems use knowledge of APIs', 'Booking Systems use knowledge of Data Requirements']"
Boolean,['Boolean is subclass of Data Types']
Boolean Expressions,"['Boolean Expressions is subclass of Expressions', 'Boolean Expressions use knowledge of Relational Operators']"
Boolean Logic,"['Boolean Logic is subclass of Logic', 'Boolean Logic use knowledge of logical test', 'Boolean Logic use knowledge of False', 'Boolean Logic use knowledge of True']"
Boot Files,"['Boot Files is subclass of Linux Directory Structure', 'Boot Files use knowledge of GRUB boot loader', 'Boot Files use knowledge of initrd image', 'Boot Files use knowledge of kernel image', 'Boot Files use knowledge of boot']"
Bootstrap,"['Bootstrap is subclass of Web Framework', 'Bootstrap use knowledge of JavaScript', 'Bootstrap use knowledge of CSS', 'Bootstrap use knowledge of HTML', 'Bootstrap use knowledge of Boot block', 'Bootstrap use knowledge of Bootstrap loader']"
BotNet,['BotNet is synonym of Botnet']
Botnet,"['Botnet is subclass of Cyber Threat', 'Botnet use knowledge of Network']"
Botnets,['Botnets is subclass of System and Network Threats']
Bottom-Up Design,"['Bottom-Up Design is subclass of Database Design', 'Bottom-Up Design use knowledge of Attributes']"
Bouncing Ball,"['Bouncing Ball is subclass of Animation', 'Bouncing Ball is subclass of Animated programs', 'Bouncing Ball use knowledge of move method', 'Bouncing Ball use knowledge of GOval', 'Bouncing Ball use knowledge of reflecting horizontally', 'Bouncing Ball use knowledge of reflecting vertically', 'Bouncing Ball use knowledge of Velocity']"
Bounded Buffer Problem,['Bounded Buffer Problem is synonym of Producer-Consumer Problem']
Bounded Waiting,"['Bounded Waiting is subclass of Process Synchronization', 'Bounded Waiting use knowledge of Critical Section Problem']"
Boyce-Codd Normal Form (BCNF),"['Boyce-Codd Normal Form (BCNF) is subclass of Normal Forms', 'Boyce-Codd Normal Form (BCNF) use knowledge of Candidate Key', 'Boyce-Codd Normal Form (BCNF) use knowledge of Functional Dependency', 'Boyce-Codd Normal Form (BCNF) use knowledge of Third Normal Form (3NF)']"
Brainstorm,['Brainstorm is subclass of Software Project Initiation']
Branching,"['Branching is synonym of Conditional Execution', 'Branching is subclass of Version Control Systems']"
Brand Management,"['Brand Management is synonym of Marketing', 'Brand Management is synonym of product line management']"
Broadcast Address,['Broadcast Address is subclass of Network Address']
Broken Access Control,['Broken Access Control is subclass of Vulnerabilities']
Broken Access Controls,"['Broken Access Controls is subclass of Access Control', 'Broken Access Controls is subclass of Vulnerabilities']"
Broken Authentication,['Broken Authentication is subclass of Web Application Security']
Brokerage Operations,"['Brokerage Operations is subclass of Financial Operations', 'Brokerage Operations use knowledge of Financial Markets']"
Browser,"['Browser use knowledge of DNS', 'Browser use knowledge of HTTP']"
Browser Cache Weaknesses,['Browser Cache Weaknesses is subclass of Authentication Testing']
Browsers,"['Browsers use knowledge of Content Security Policy (CSP)', 'Browsers use knowledge of Same Origin Policy (SOP)']"
Brute Force,['Brute Force is subclass of Authentication Testing']
Brute Force Attack,"['Brute Force Attack is subclass of Brute Force', 'Brute Force Attack is subclass of Authentication Testing']"
Brute force algorithm,"['Brute force algorithm use knowledge of Real Divisors', 'Brute force algorithm use knowledge of Proper Divisors', 'Brute force algorithm use knowledge of Prime Numbers']"
Budget,"['Budget is subclass of Triple Constraint', 'Budget is subclass of Finance', 'Budget use knowledge of Management']"
Budget Management,['Budget Management is subclass of Project Management']
Buffer Cache,['Buffer Cache is subclass of File System']
Buffer Overflow,['Buffer Overflow is subclass of Program Threats']
Buffer Storage,"['Buffer Storage is subclass of Memory', 'Buffer Storage use knowledge of Data']"
Buffering,['Buffering is subclass of Interprocess Communication (IPC)']
Bug Tracking,['Bug Tracking is synonym of Defect Management']
Bugs,['Bugs is synonym of Software Defects']
Build,['Build use knowledge of Dockerfile']
Burp Suite,"['Burp Suite is subclass of Security Testing', 'Burp Suite is subclass of Proxy HTTP', 'Burp Suite is subclass of Intercepting Proxy', 'Burp Suite is subclass of Web Application Security', 'Burp Suite use knowledge of Access Control Flaws', 'Burp Suite use knowledge of Session Management Vulnerabilities', 'Burp Suite use knowledge of Cross-Site Request Forgery (CSRF)', 'Burp Suite use knowledge of Cross-site scripting (XSS)', 'Burp Suite use knowledge of Injection Flaws', 'Burp Suite use knowledge of Attacks', 'Burp Suite use knowledge of Vulnerabilities']"
Business Analysis,['Business Analysis is subclass of Analysis']
Business Analyst,['Business Analyst is synonym of BA']
Business Development,['Business Development is synonym of Sales']
Business Elements,['Business Elements is synonym of Entities']
Business Logic Testing,['Business Logic Testing is subclass of Security Testing']
Business Objectives Alignment,['Business Objectives Alignment use knowledge of Project Management']
Business Process,['Business Process is subclass of Requirements Engineering']
Business Process Reengineering,['Business Process Reengineering is synonym of process improvement']
Business Requirement,"['Business Requirement is subclass of Requirement', 'Business Requirement use knowledge of Goal', 'Business Requirement use knowledge of Objective', 'Business Requirement use knowledge of Customer Business Requirement']"
Business Requirements,"['Business Requirements is synonym of Functional', 'Business Requirements is subclass of Project Requirements']"
Button demo,['Button demo is synonym of GUI Demo']
ButtonGroup,['ButtonGroup use knowledge of JRadioButton']
Bypassing Authentication Schema,['Bypassing Authentication Schema is subclass of Authentication Testing']
